Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4989;4987;92647;1634961.0;91022;0;18577.70202526569;327844.5959494686;null;-1;-1;-1;[ 42.10174101697842 57.89825898302158 ];
1;14989;14987;254065;4890833.0;246724;0;16952.358710882763;326338.35991192365;noop;1.38657E7;254065;54.57540393206463;[ 45.42459606793537 54.57540393206463 ];
2;10000;9985;162341;3275235.0;143720;0;16258.487731597395;328015.5232849274;( drop 1 );1.11524E7;209084;53.339327734307744;[ 46.60929771283902 53.39070228716098 ];
3;10000;9970;147557;3378423.0;110546;0;14800.100300902708;338858.87662988965;noop;1.85975E7;356640;52.14642216240467;[ 49.544243919298985 50.455756080701015 ];
4;10000;9960;161411;3299486.0;124785;0;16205.923694779116;331273.6947791165;( drop 6 );1.91881E7;406093;47.25050665734204;[ 56.26970900372341 43.73029099627659 ];
5;10000;9967;149997;3262619.0;110873;0;15049.362897561954;327342.1290257851;noop;2.4674E7;556102;44.36955810265023;[ 63.429935265371974 36.570064734628026 ];
6;10000;9968;156856;3291873.0;117443;0;15735.955056179775;330244.08105939004;( drop 4 );1.13056E7;259051;43.64237157934152;[ 57.685711735604634 42.314288264395366 ];
7;10000;9971;163548;3258420.0;119154;0;16402.366863905325;326789.69010129373;noop;1.80934E7;422611;42.81336737567172;[ 58.50086824663096 41.49913175336904 ];
8;10000;9967;146597;2966632.0;94817;0;14708.23718270292;297645.4299187318;( drop 2 );2.1285E7;518741;41.03203718233184;[ 55.10822185992892 44.89177814007108 ];
9;10000;9969;166599;3435517.0;102539;0;16711.70628949744;344620.0220684121;noop;2.967585E7;686700;43.21515945827873;[ 49.92586990318069 50.07413009681931 ];
10;10000;9967;167048;3529667.0;96857;0;16760.108357580015;354135.34664392495;( drop 5 );3.445035E7;811293;42.463511949443664;[ 50.51931181456827 49.48068818543173 ];
