Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white black ];
0;4991;4987;4247;273817.0;4247;0;851.6141969119711;54906.1560056146;null;-1;-1;-1;[ 50.788792088533086 49.211207911466914 ];
1;14991;14987;13596;870907.0;13596;0;907.1862280643224;58110.829385467405;noop;673700.0;13596;49.551338629008534;[ 50.448661370991466 49.551338629008534 ];
2;10001;9999;9268;580891.0;9268;0;926.8926892689269;58094.909490949096;( move 3 7 3 6 );48600.0;940;51.702127659574465;[ 51.26240828657747 48.73759171342253 ];
3;10000;9991;9143;562550.0;9143;0;915.1236112501251;56305.675107596835;noop;502400.0;10082;49.831382662170206;[ 50.355463195887566 49.644536804112434 ];
4;10002;9997;10177;606856.0;10177;0;1018.0054016204862;60703.811143343;( move 3 6 2 5 );43800.0;871;50.28702640642939;[ 51.89152009433035 48.10847990566965 ];
5;10000;9996;11225;638271.0;11225;0;1122.9491796718687;63852.641056422566;noop;599700.0;12095;49.5824720959074;[ 50.46770601336303 49.53229398663697 ];
6;10000;9995;11226;629554.0;11226;0;1123.1615807903952;62986.89344672336;( move 2 5 3 4 );139400.0;2505;55.64870259481038;[ 48.28077676821664 51.71922323178336 ];
7;10001;9996;12368;624761.0;12368;0;1237.2949179671868;62501.10044017607;noop;874600.0;14874;58.800591636412534;[ 40.564359637774906 59.435640362225094 ];
8;9999;9995;11778;615143.0;11778;0;1178.3891945972987;61545.07253626813;( move 6 7 6 6 );53100.0;910;58.35164835164835;[ 44.24350483953133 55.75649516046867 ];
9;10000;9996;12657;633180.0;12657;0;1266.2064825930372;63343.337334933974;noop;785800.0;13567;57.91995282671188;[ 42.1110847752232 57.8889152247768 ];
10;10001;9994;12719;630045.0;12719;0;1272.6635981588954;63042.325395237145;( move 4 7 4 6 );31900.0;571;55.86690017513135;[ 45.805487852818615 54.194512147181385 ];
11;10000;9996;13037;622003.0;13037;0;1304.2216886754702;62225.19007603041;noop;743800.0;13609;54.6550077154824;[ 45.40154943621999 54.59845056378001 ];
12;10000;9996;14070;626997.0;14068;0;1407.563025210084;62724.78991596639;( move 3 4 4 3 );252800.0;4783;52.85385741166632;[ 50.09950248756219 49.90049751243781 ];
13;10001;9995;13295;642553.0;13279;0;1330.1650825412705;64287.44372186093;noop;794800.0;18078;43.96504038057307;[ 59.23279428356525 40.76720571643475 ];
14;10000;9996;15277;643607.0;14925;0;1528.3113245298118;64386.45458183273;( move 4 6 3 5 );70500.0;1241;56.809024979854954;[ 46.04307128362898 53.95692871637102 ];
15;10000;9996;14446;638649.0;14424;0;1445.1780712284915;63890.45618247299;noop;752200.0;15687;47.950532287881686;[ 52.81046656513914 47.18953343486086 ];
16;10000;9995;16637;622901.0;16158;0;1664.5322661330665;62321.260630315155;( move 6 6 5 5 );47400.0;866;54.73441108545035;[ 47.37632986716355 52.62367013283645 ];
17;10000;9994;14690;619566.0;14656;0;1469.8819291574946;61993.79627776666;noop;802900.0;15555;51.61684345869495;[ 48.56364874063989 51.43635125936011 ];
18;10001;9996;16330;624596.0;15542;0;1633.6534613845538;62484.593837535016;( move 4 3 3 2 );214300.0;3467;61.81136429189501;[ 40.685854255970604 59.314145744029396 ];
19;10001;9994;15477;638808.0;14739;0;1548.629177506504;63919.15149089454;noop;973400.0;18944;51.383023648648646;[ 50.95302707243006 49.04697292756994 ];
20;10000;9994;1609820;1697694.0;3615;0;161078.64718831299;169871.3227936762;( move 3 2 4 1 );8.03369E7;803369;100.0;[ 0.08087860754618528 99.91912139245382 ];
